Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744478492,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744478493,10,,Aggregated,0.000000,0.000000,85,110,380,380,390,390,390,390,390,390,390,30,0,78,170.10906333333327,24.62909999999985,390.6059000000002,16547.666666666668
1744478494,30,,Aggregated,0.000000,0.000000,75,130,190,210,380,380,390,390,390,390,390,67,0,75,129.39336865671643,10.015600000000013,390.6059000000002,14840.58208955224
1744478495,40,,Aggregated,0.000000,0.000000,69,110,200,230,370,380,390,390,460,460,460,107,0,69,124.03692429906542,6.187200000000281,460.3919000000003,13951.672897196262
1744478496,50,,Aggregated,25.000000,0.000000,68,110,180,200,350,390,400,460,470,470,470,160,0,66,114.54697875000006,6.187200000000281,472.0475000000004,12462.6875
1744478497,60,,Aggregated,26.666667,0.000000,71,120,180,210,350,390,420,460,470,470,470,211,0,71,123.05342511848342,6.187200000000281,472.0475000000004,11823.777251184834
1744478498,70,,Aggregated,31.000000,0.000000,73,130,180,210,350,390,460,480,640,640,640,271,0,73,125.84791734317342,6.187200000000281,644.7492000000005,11060.80073800738
1744478499,80,,Aggregated,35.200000,0.000000,83,160,200,240,370,450,580,630,680,680,680,323,0,83,141.6965736842105,6.187200000000281,677.1567999999996,10679.433436532508
1744478500,90,,Aggregated,37.500000,0.000000,110,180,240,270,390,520,700,840,1400,1400,1400,386,0,110.0,170.26693316062176,6.187200000000281,1415.9594000000002,9986.243523316061
1744478501,100,,Aggregated,40.000000,0.000000,110,190,250,310,450,590,970,1300,1500,1500,1500,450,0,110.0,190.01142311111124,6.187200000000281,1544.2479999999996,9684.893333333333
1744478502,100,,Aggregated,42.750000,0.000000,140,230,300,350,480,680,1100,1300,1500,1500,1500,505,0,140.0,217.99929069306938,6.187200000000281,1544.2479999999996,9526.437623762376
1744478503,100,,Aggregated,44.888889,0.000000,170,260,340,380,560,840,1200,1400,1500,1500,1500,559,0,170.0,250.7146280858676,6.187200000000281,1546.6762000000003,8976.838998211091
1744478504,100,,Aggregated,46.300000,0.000000,180,290,370,430,630,980,1400,1500,2300,2300,2300,627,0,180.0,283.7201850079743,6.187200000000281,2322.710599999999,8025.724082934609
1744478505,100,,Aggregated,52.100000,0.000000,180,270,350,410,630,980,1500,1800,2800,2800,2800,687,0,180.0,280.7907211062591,6.187200000000281,2830.7331,7342.866084425036
1744478506,100,,Aggregated,52.800000,0.000000,180,270,350,400,600,970,1400,1700,2800,2800,2800,733,0,180.0,275.3928702592088,6.187200000000281,2830.7331,6895.049113233288
1744478507,100,,Aggregated,56.500000,0.000000,180,270,360,410,610,920,1400,1700,2800,2800,2800,779,0,180.0,279.9966060333763,6.187200000000281,2830.7331,6500.119383825418
1744478508,100,,Aggregated,57.800000,0.000000,190,300,370,450,640,1000,1500,1800,2800,2800,2800,820,0,190.0,295.810975487805,6.187200000000281,2830.7331,6185.463414634146
1744478509,100,,Aggregated,57.000000,0.000000,200,310,390,460,710,1200,1500,2100,3000,3000,3000,860,0,200.0,318.6385003488373,6.187200000000281,3004.386499999999,5907.395348837209
1744478510,100,,Aggregated,56.700000,0.000000,220,340,430,510,830,1200,1700,2100,3800,3800,3800,904,0,220.0,346.4926886061945,6.187200000000281,3835.0168,5629.942477876106
1744478511,100,,Aggregated,55.100000,0.000000,230,360,460,540,860,1300,1800,2200,4000,4000,4000,952,0,230.0,367.58217415966374,6.187200000000281,3962.4264000000016,5356.516806722689
1744478512,100,,Aggregated,52.900000,0.000000,240,370,470,560,900,1300,1800,2300,4000,4000,4000,993,0,240.0,383.4923926485396,6.187200000000281,3962.4264000000016,5143.898288016113
1744478513,100,,Aggregated,51.000000,0.000000,250,390,500,580,920,1300,1900,2300,3800,4000,4000,1032,0,250.0,398.59136133720915,6.187200000000281,3962.4264000000016,4957.329457364341
1744478514,100,,Aggregated,50.100000,0.000000,270,410,540,620,980,1400,1900,2500,4000,5300,5300,1066,0,270.0,420.4201816135084,6.187200000000281,5267.008900000001,4805.818011257035
1744478515,100,,Aggregated,48.000000,0.000000,280,430,560,670,1100,1500,2200,2700,4800,5300,5300,1098,0,280.0,449.9230981785062,6.187200000000281,5267.008900000001,4671.790528233151
1744478516,100,,Aggregated,46.300000,0.000000,300,460,590,710,1200,1600,2300,2700,4800,5300,5300,1128,0,300.0,475.32219007092203,6.187200000000281,5267.008900000001,4553.04609929078
1744478517,100,,Aggregated,43.500000,0.000000,310,480,630,780,1200,1700,2400,2800,4800,5300,5300,1157,0,310.0,499.5493234226446,6.187200000000281,5267.008900000001,4444.113223854797
1744478518,100,,Aggregated,40.400000,0.000000,320,510,680,830,1300,1900,2600,2900,4800,5300,5300,1188,0,320.0,534.401048316498,6.187200000000281,5267.008900000001,4333.548821548821
1744478519,100,,Aggregated,38.500000,0.000000,330,540,740,870,1400,2100,2700,3000,4800,5300,5300,1220,0,330.0,566.536584672131,6.187200000000281,5267.008900000001,4225.311475409836
1744478520,100,,Aggregated,37.200000,0.000000,340,560,770,910,1500,2100,2700,3200,4800,5300,5300,1253,0,340.0,587.4306077414207,6.187200000000281,5267.008900000001,4119.482043096568
1744478521,100,,Aggregated,36.800000,0.000000,350,590,810,950,1600,2200,2700,3300,4800,5300,5300,1281,0,350.0,613.7518900858705,6.187200000000281,5267.008900000001,4033.9633099141297
1744478522,100,,Aggregated,35.700000,0.000000,370,620,850,1000,1600,2300,2700,3700,6900,8800,8800,1312,0,370.0,647.4626169969513,6.187200000000281,8786.0519,3943.5396341463415
1744478523,100,,Aggregated,34.600000,0.000000,370,660,880,1100,1700,2300,2800,3800,6900,8800,8800,1335,0,370.0,668.8387307865171,6.187200000000281,8786.0519,3879.164794007491
1744478524,100,,Aggregated,32.400000,0.000000,380,680,910,1100,1800,2300,2900,3900,6900,8800,8800,1357,0,380.0,688.6806323507742,6.187200000000281,8786.0519,3819.6308032424467
1744478525,100,,Aggregated,31.700000,0.000000,390,710,970,1200,1900,2500,3300,4000,6900,8800,8800,1388,0,390.0,725.2095382564847,6.187200000000281,8786.0519,3738.9452449567725
1744478526,100,,Aggregated,29.900000,0.000000,400,760,1000,1200,2000,2600,3500,4300,8800,9300,9300,1416,0,400.0,764.7386035310743,6.187200000000281,9298.257699999996,3669.1045197740114
1744478527,100,,Aggregated,28.400000,0.000000,420,780,1100,1300,2000,2600,3800,4500,8800,9300,9300,1442,0,420.0,787.1683394590854,6.187200000000281,9298.257699999996,3606.6809986130374
1744478528,100,,Aggregated,28.700000,0.000000,430,810,1100,1300,2100,2700,3800,4600,8800,9300,9300,1467,1,430.0,810.0779045671449,6.187200000000281,9298.257699999996,3593.252897068848
1744478529,100,,Aggregated,28.700000,0.000000,450,840,1100,1300,2100,2700,3900,4800,8800,9300,9300,1493,1,450.0,835.9738049564644,6.187200000000281,9298.257699999996,3534.282652377763
1744478530,100,,Aggregated,27.900000,0.000000,460,860,1200,1400,2200,2800,3900,4800,8800,9300,9300,1514,1,460.0,862.312366842801,6.187200000000281,9298.257699999996,3488.1314398943196
1744478531,100,,Aggregated,27.300000,0.100000,470,900,1200,1500,2200,3000,4000,5100,8800,9300,9300,1539,1,470.0,890.7241964912282,6.187200000000281,9298.257699999996,3434.831708901884
1744478532,100,,Aggregated,27.100000,0.100000,490,920,1300,1500,2300,3100,4200,5200,8800,9300,9300,1559,1,490.0,913.9884183450935,6.187200000000281,9298.257699999996,3393.422706863374
1744478533,100,,Aggregated,25.700000,0.100000,510,950,1300,1600,2300,3100,4300,5300,9300,9500,9500,1581,1,510.0,936.6034917141055,6.187200000000281,9538.054900000006,3349.0828589500316
1744478534,100,,Aggregated,25.100000,0.100000,520,980,1300,1600,2400,3300,4400,5400,9300,9500,9500,1599,1,520.0,959.5978158223894,6.187200000000281,9538.054900000006,3313.7123202001253
1744478535,100,,Aggregated,24.600000,0.100000,530,1000,1400,1600,2500,3300,4600,5400,9300,9500,9500,1623,1,530.0,986.3415481207644,6.187200000000281,9538.054900000006,3267.7720271102894
1744478536,100,,Aggregated,24.400000,0.100000,540,1100,1400,1700,2500,3600,4900,5800,9300,9500,9500,1642,1,540.0,1017.6966381851405,6.187200000000281,9538.054900000006,3232.3550548112057
1744478537,100,,Aggregated,23.900000,0.100000,550,1100,1500,1800,2600,3700,5000,5900,9300,9500,9500,1667,1,550.0,1045.7896973605282,6.187200000000281,9538.054900000006,3186.9838032393523
1744478538,100,,Aggregated,23.400000,0.100000,570,1100,1500,1800,2700,3700,5100,5900,9300,9500,9500,1690,1,560.0,1067.1480874556216,6.187200000000281,9538.054900000006,3146.4278106508877
1744478539,100,,Aggregated,23.000000,0.100000,580,1100,1500,1800,2700,3800,5200,6100,9500,12000,12000,1707,1,580.0,1092.0628633274755,6.187200000000281,12021.0042,3117.154071470416
1744478540,100,,Aggregated,22.600000,0.100000,590,1200,1500,1900,2700,3900,5300,6200,9500,12000,12000,1726,1,590.0,1112.0914137311709,6.187200000000281,12021.0042,3085.118771726535
1744478541,100,,Aggregated,21.800000,0.000000,610,1200,1600,1900,2800,3900,5300,6400,11000,12000,12000,1745,2,610.0,1140.004105787966,6.187200000000281,12021.0042,3091.198280802292
1744478542,100,,Aggregated,21.400000,0.000000,630,1200,1600,2000,2900,3900,5300,6400,11000,12000,12000,1763,2,630.0,1157.7221917186619,6.187200000000281,12021.0042,3061.7509926262055
